Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.000278	1.000000	0.575570	0.849538	0.863515	7320.850679	90.066241	11694.345890	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000235	1.000000	0.579414	0.849743	0.863515	7415.696702	89.296990	11598.910225	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000278	1.000000	0.584892	0.848510	0.863515	7509.747806	89.186533	11502.271957	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000244	1.000000	0.587208	0.847893	0.863515	7605.324209	90.277325	11407.986313	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000249	1.000000	0.589336	0.845427	0.863515	7699.404805	88.842081	11311.471257	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000255	1.000000	0.607556	0.842960	0.863515	7793.344608	88.730628	11214.812973	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000237	1.000000	0.589829	0.847893	0.863515	7887.926694	89.148894	11119.125580	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000260	1.000000	0.552134	0.849332	0.863515	7982.535615	89.249243	11023.501564	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000234	1.000000	0.576642	0.848921	0.863515	8077.040218	89.058400	10927.760294	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000280	1.000000	0.585429	0.847893	0.863515	8172.929904	90.646381	10833.883827	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000250	1.000000	0.611033	0.844810	0.863515	8267.722440	89.549858	10738.536043	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000245	1.000000	0.568351	0.850154	0.863515	8363.395455	90.273508	10644.321489	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000239	1.000000	0.619778	0.845838	0.863515	8459.075832	90.231340	10550.083341	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000238	1.000000	0.602265	0.851593	0.863515	8554.268063	89.987715	10455.216521	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000241	1.000000	0.604477	0.849743	0.863515	8648.169506	88.643872	10358.796441	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000205	1.000000	0.620390	0.847893	0.863515	8743.450724	90.059752	10264.050850	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000212	1.000000	0.577973	0.849538	0.863515	8837.924350	89.128833	10168.364574	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000267	1.000000	0.606758	0.848715	0.863515	8931.791237	88.591058	10072.019906	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000216	1.000000	0.568259	0.848510	0.863515	9026.963771	89.952625	9977.170484	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000223	1.000000	0.565807	0.846865	0.863515	9121.874537	89.627750	9882.030748	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000198	1.000000	0.617344	0.843371	0.863515	9217.329226	90.278827	9787.473302	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000190	1.000000	0.572621	0.847482	0.863515	9310.885014	88.547943	9690.921137	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000197	1.000000	0.619181	0.842343	0.863515	9405.881243	90.125096	9595.899045	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000197	1.000000	0.557576	0.848921	0.863515	9499.218635	88.528454	9499.218635	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000225	1.000000	0.574016	0.849743	0.863515	9593.813799	89.817192	9403.837288	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000206	1.000000	0.579235	0.847482	0.863515	9688.495770	89.845073	9308.554759	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000235	1.000000	0.582604	0.846660	0.863515	9784.008151	90.379812	9214.065928	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000218	1.000000	0.557299	0.847688	0.863515	9878.426212	89.623621	9118.547272	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000196	1.000000	0.574795	0.847893	0.863515	9973.365559	89.903858	9023.521220	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000169	1.000000	0.574741	0.849332	0.863515	10067.935693	89.090550	8928.169388	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000171	1.000000	0.600791	0.848304	0.863515	10163.513734	90.260391	8833.708199	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000200	1.000000	0.650207	0.847276	0.863515	10257.965686	89.257464	8738.267066	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000184	1.000000	0.563504	0.848510	0.863515	10352.510421	89.197160	8642.921544	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000219	1.000000	0.595689	0.848099	0.863515	10446.970168	89.118152	8547.521047	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000200	1.000000	0.580644	0.850360	0.863515	10541.272954	89.045527	8452.011648	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000205	1.000000	0.578945	0.849949	0.863515	10635.284986	88.435149	8356.295346	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000184	1.000000	0.582148	0.848715	0.863515	10729.581068	89.123473	8260.827902	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000176	1.000000	0.594149	0.847071	0.863515	10824.459794	89.698683	8165.820546	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000190	1.000000	0.638014	0.839260	0.863515	10919.885030	90.167818	8071.219370	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000194	1.000000	0.622869	0.842549	0.863515	11014.664568	89.730635	7976.136411	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000148	1.000000	0.618062	0.840699	0.863515	11109.333881	89.178863	7880.980445	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000187	1.000000	0.587776	0.848304	0.863515	11205.476989	90.943131	7786.856891	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000170	1.000000	0.609839	0.848510	0.863515	11299.424591	88.718487	7691.204973	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000156	1.000000	0.602140	0.847893	0.863515	11392.926423	88.493653	7595.284282	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000171	1.000000	0.598920	0.848510	0.863515	11487.627351	89.859370	7500.186452	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000167	1.000000	0.585006	0.850565	0.863515	11582.648014	90.184747	7405.299550	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000173	1.000000	0.599469	0.848715	0.863515	11676.370087	88.764397	7309.597534	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000195	1.000000	0.588383	0.842138	0.863515	11770.565698	89.377813	7214.217686	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000153	1.000000	0.601813	0.845838	0.863515	11865.369799	89.926378	7119.221879	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000149	1.000000	0.618704	0.846249	0.863515	11961.849122	91.359157	7025.212976	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000163	1.000000	0.595219	0.849538	0.863515	12057.212310	89.741144	6930.523611	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000223	1.000000	0.628698	0.848921	0.863515	12151.092974	88.403842	6834.989798	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000158	1.000000	0.614351	0.845632	0.863515	12246.606720	90.083603	6740.380443	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000184	1.000000	0.589872	0.848921	0.863515	12341.565530	89.592502	6645.458362	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000161	1.000000	0.607699	0.847276	0.863515	12435.881304	89.084523	6550.197022	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000146	1.000000	0.646032	0.847071	0.863515	12530.831663	89.725907	6455.276917	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000140	1.000000	0.607742	0.849743	0.863515	12625.607989	89.409486	6360.268686	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000119	1.000000	0.622536	0.844399	0.863515	12720.078267	89.233088	6265.113176	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000170	1.000000	0.634540	0.845427	0.863515	12814.917875	89.330392	6170.145643	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000140	1.000000	0.625704	0.839671	0.863515	12909.965889	89.686914	6075.278065	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000173	1.000000	0.654995	0.844399	0.863515	13006.262115	90.670726	5980.981849	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000129	1.000000	0.667184	0.841521	0.863515	13100.395731	89.157463	5885.685039	22198.375000	81920.000000	27.097626	6805.762695	7084.000000	
0.000100	0.000147	1.000000	0.648488	0.843577	0.863515	13198.614276	92.609648	5792.197632	30360.375000	81920.000000	37.061005	6805.762695	7084.000000	
0.000100	0.000152	1.000000	0.598230	0.840699	0.863515	13297.102158	93.745888	5698.758068	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000146	1.000000	0.634844	0.840904	0.863515	13391.857052	89.461269	5603.684866	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000125	1.000000	0.654551	0.846043	0.863515	13487.161499	89.747821	5508.840612	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000148	1.000000	0.630271	0.840904	0.863515	13582.300216	89.588634	5413.923862	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000142	1.000000	0.650639	0.842343	0.863515	13678.228592	90.377536	5319.311119	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000158	1.000000	0.686205	0.842138	0.863515	13774.217963	90.813116	5224.703365	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000115	1.000000	0.645384	0.844193	0.863515	13869.441020	89.801149	5129.793254	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000156	1.000000	0.606313	0.843165	0.863515	13963.540795	88.834207	5034.473892	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000127	1.000000	0.627551	0.841521	0.863515	14058.109397	89.356952	4939.335734	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000139	1.000000	0.630652	0.843165	0.863515	14152.282827	88.921190	4844.069961	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000133	1.000000	0.637001	0.843371	0.863515	14247.524847	89.814611	4749.174949	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000123	1.000000	0.644607	0.844810	0.863515	14341.079589	88.287865	4653.727814	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000135	1.000000	0.648335	0.842549	0.863515	14436.208504	89.765588	4558.802686	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000144	1.000000	0.625121	0.843988	0.863515	14530.861872	89.293157	4463.728810	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000119	1.000000	0.627856	0.845015	0.863515	14625.380166	89.045933	4368.620050	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000125	1.000000	0.647462	0.845221	0.863515	14720.143504	89.565881	4273.590049	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
