Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.000163	1.000000	0.570492	0.832271	0.868037	12240.692541	89.866236	16226.034298	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000175	1.000000	0.528637	0.843371	0.868037	12334.735311	89.130672	16130.038483	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000151	1.000000	0.545088	0.839260	0.868037	12428.555197	88.922084	16033.784948	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000165	1.000000	0.549737	0.837410	0.868037	12524.712552	90.217731	15940.543247	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000171	1.000000	0.571981	0.838643	0.868037	12620.117373	89.911014	15846.312792	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000164	1.000000	0.547138	0.841316	0.868037	12715.327971	89.636606	15751.824203	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000149	1.000000	0.570996	0.839260	0.868037	12809.891763	89.300401	15656.534377	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000168	1.000000	0.557596	0.840904	0.868037	12904.845767	89.330636	15561.725778	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000149	1.000000	0.543183	0.841521	0.868037	13000.419515	90.305355	15467.652415	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000139	1.000000	0.535182	0.844810	0.868037	13095.197414	89.354727	15372.623051	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000144	1.000000	0.567904	0.833710	0.868037	13191.766912	91.057950	15279.672466	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000167	1.000000	0.572593	0.843165	0.868037	13286.413485	89.444141	15184.472554	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000158	1.000000	0.531737	0.841932	0.868037	13381.245973	89.435396	15089.490140	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000145	1.000000	0.563111	0.831655	0.868037	13474.448412	88.348878	14992.696121	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000166	1.000000	0.595113	0.835355	0.868037	13568.996268	89.556709	14897.429469	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000158	1.000000	0.562915	0.838027	0.868037	13663.513689	89.640628	14802.139830	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000122	1.000000	0.569234	0.843577	0.868037	13757.679239	89.320854	14706.484704	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000137	1.000000	0.553305	0.840699	0.868037	13852.639635	90.031277	14611.688382	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000160	1.000000	0.570434	0.838438	0.868037	13947.275570	89.786354	14516.552124	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000132	1.000000	0.571556	0.834738	0.868037	14040.548937	88.395927	14420.023232	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000128	1.000000	0.546196	0.840082	0.868037	14134.699317	88.576153	14324.426825	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000149	1.000000	0.550360	0.830627	0.868037	14230.796186	91.075680	14230.796186	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000159	1.000000	0.534036	0.828777	0.868037	14325.409755	89.652988	14135.669228	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000124	1.000000	0.512413	0.840699	0.868037	14419.919350	89.439817	14040.447788	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000136	1.000000	0.555799	0.833710	0.868037	14513.141328	88.377949	13943.998531	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000141	1.000000	0.520307	0.837410	0.868037	14608.674258	90.548407	13849.782088	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000152	1.000000	0.516615	0.837616	0.868037	14703.429456	89.628303	13754.821104	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
0.000100	0.000132	1.000000	0.525723	0.836793	0.868037	14800.125091	91.610529	13661.653930	8374.312500	81920.000000	10.222549	6034.187988	7084.000000	
