Learning Rate	Train Loss	Train Acc	Test Loss	Test Acc	Best Acc (Test).	Elasped(s)	EpochTime(s)	ETA(s)	VRAM_used(MB)	VRAM_total(MB)	VRAM_util(%)	VRAM_peak_alloc(MB)	VRAM_peak_reserved(MB)	
0.000100	0.000278	1.000000	0.638086	0.753751	0.793834	6287.463266	90.022945	12765.455722	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000327	1.000000	0.696880	0.736485	0.793834	6382.552398	89.819158	12669.842820	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000256	1.000000	0.696486	0.748613	0.793834	6479.386230	91.539254	12577.632094	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000298	1.000000	0.675684	0.775128	0.793834	6575.019936	90.033782	12483.008865	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000281	1.000000	0.704850	0.763823	0.793834	6668.544507	88.277192	12384.439799	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000274	1.000000	0.715451	0.715108	0.793834	6763.506809	89.796071	12288.625047	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000291	1.000000	0.655294	0.755601	0.793834	6859.167451	90.077317	12194.075469	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000247	1.000000	0.702976	0.745735	0.793834	6955.222537	90.154694	12100.181673	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000239	1.000000	0.719051	0.760123	0.793834	7050.886393	90.065101	12005.563317	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000245	1.000000	0.720728	0.755807	0.793834	7145.467092	89.395751	11909.111820	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000287	1.000000	0.778260	0.748201	0.793834	7239.392129	88.896291	11811.639789	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000272	1.000000	0.730344	0.701953	0.793834	7335.371960	90.645427	11717.542222	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000250	1.000000	0.740876	0.701953	0.793834	7431.394665	90.637957	11623.463450	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000242	1.000000	0.725764	0.744707	0.793834	7526.618295	90.003491	11528.111565	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000308	1.000000	0.707386	0.710380	0.793834	7621.319307	89.439225	11431.978961	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000243	1.000000	0.689860	0.776567	0.793834	7716.999038	90.433225	11337.319575	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000221	1.000000	0.776580	0.701542	0.793834	7812.023254	89.728461	11241.692000	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000339	1.000000	0.754373	0.778006	0.793834	7907.573310	90.315583	11146.820209	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000256	1.000000	0.673834	0.759507	0.793834	8002.799502	89.930501	11051.485027	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000221	1.000000	0.754305	0.713258	0.793834	8097.735885	89.541917	10955.760315	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000248	1.000000	0.711745	0.732991	0.793834	8192.384843	89.441162	10859.672932	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000240	1.000000	0.720870	0.744502	0.793834	8289.399247	91.557085	10766.690976	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000224	1.000000	0.689260	0.738335	0.793834	8384.776700	90.213491	10671.533982	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000210	1.000000	0.723273	0.745118	0.793834	8479.485416	89.237531	10575.537991	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000249	1.000000	0.733203	0.718397	0.793834	8575.407183	90.758891	10481.053224	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000207	1.000000	0.776592	0.751079	0.793834	8671.435856	90.769278	10386.664926	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000252	1.000000	0.724517	0.746146	0.793834	8766.935471	90.295150	10291.619901	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000197	1.000000	0.718710	0.751490	0.793834	8862.471522	90.327139	10196.607020	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000251	1.000000	0.729599	0.737102	0.793834	8957.210325	89.155786	10100.683984	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000205	1.000000	0.715110	0.722919	0.793834	9053.394068	90.948502	10006.382918	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
0.000100	0.000204	1.000000	0.691835	0.755396	0.793834	9148.426379	89.810749	9910.795244	8374.312500	81920.000000	10.222549	6805.762695	7084.000000	
